ac_name,ac_no,type,winning_cand,party,totelectors,totvotes,poll_percentage,margin,winning_percentage
Pallipet,31,GEN,"Eakambara Reddy, A.",Indian National Congress,"1,38,436","1,01,732",73.50%,"4,377",3.16
Arkonam,32,SC,V.K. Raju,Dravida Munetra Kazhagam,"1,54,062","92,795",60.20%,"21,973",14.26
Sholinghur,33,GEN,A.M. Munirathinam,Indian National Congress,"1,43,254","87,585",61.10%,"5,258",3.67
Ranipet,34,GEN,"Hassain, J.",Independent,"1,64,533","94,498",57.40%,"3,940",2.39
Arcot,35,GEN,"Gajapathy, T.R.",Dravida Munetra Kazhagam,"1,29,768","97,440",75.10%,"14,305",11.02
Katpadi,36,GEN,Duraimurugan,Dravida Munetra Kazhagam,"1,45,879","1,01,689",69.70%,"19,837",13.6
Gudiyatham,37,GEN,Sundaram K.R.,Communist Party Of India (MARXIST),"1,33,687","96,222",72.00%,"2,079",1.56
Pernambut,38,SC,"Govindan, V.",Dravida Munetra Kazhagam,"1,39,817","1,00,701",72.00%,"11,446",8.19
Vaniayambadi,39,GEN,"Abdul Samad, P.",Dravida Munetra Kazhagam,"1,46,684","98,271",67.00%,"17,109",11.66
Natrampalli,40,GEN,"Mahendran, R.",Dravida Munetra Kazhagam,"1,60,322","1,17,199",73.10%,"9,581",5.98
Tiruppattur,41,GEN,"Sundaram, B.",Dravida Munetra Kazhagam,"1,59,767","1,16,291",72.80%,"13,457",8.42
Chengam,42,SC,"Settu, M.",Janta Party,"1,28,945","77,898",60.40%,"3,912",3.03
Thandarambattu,43,GEN,"Ponnumudi, D.",Dravida Munetra Kazhagam,"1,36,462","1,07,700",78.90%,"19,529",14.31
Tiruvannamalai,44,GEN,"Pitchandi, K.",Dravida Munetra Kazhagam,"1,50,265","1,07,715",71.70%,"34,402",22.89
Kalasapakkam,45,GEN,"Thiruvengadam, P.S.",Dravida Munetra Kazhagam,"1,40,054","1,01,236",72.30%,"21,695",15.49
Polur,46,GEN,A. Rajendran,Dravida Munetra Kazhagam,"1,32,966","83,454",62.80%,"10,144",7.63
Anaicut,47,GEN,S.P. Kannan,Dravida Munetra Kazhagam,"1,40,696","73,925",52.50%,"2,823",2.01
Vellore,48,GEN,"Devaraj, V.M.",Dravida Munetra Kazhagam,"1,64,678","1,08,377",65.80%,"19,360",11.76
Arni,49,GEN,"Dayalan, A.C.",Dravida Munetra Kazhagam,"1,42,709","1,09,596",76.80%,"7,667",5.37
Cheyyar,50,GEN,V. Anbalagan,Dravida Munetra Kazhagam,"1,39,998","1,01,639",72.60%,"23,383",16.7
Vandavasi,51,SC,"Dhanaraj, V.",Dravida Munetra Kazhagam,"1,47,671","82,677",56.00%,"14,088",9.54
Peranamallur,52,GEN,R. Ettiyappan,Dravida Munetra Kazhagam,"1,42,908","93,400",65.40%,"17,320",12.12
Melmalayanur,53,GEN,"Panchatcharam, R.",Dravida Munetra Kazhagam,"1,41,778","1,02,475",72.30%,"12,787",9.02
Gingee,54,GEN,"Ramachandiran, N.",Dravida Munetra Kazhagam,"1,48,045","93,298",63.00%,"22,630",15.29
Tindivanam,55,GEN,"Masilamani, R.",Dravida Munetra Kazhagam,"1,29,844","83,676",64.40%,"10,755",8.28
Vanur,56,SC,"Marimuthu, A.",Dravida Munetra Kazhagam,"1,50,426","91,054",60.50%,"22,012",14.63
Kandamangalam,57,SC,"Alaguvelu, S.",Dravida Munetra Kazhagam,"1,49,262","89,241",59.80%,"25,191",16.88
Villupuram,58,GEN,"Deivasigamani (A) Ponmudi, K.",Dravida Munetra Kazhagam,"1,56,154","97,625",62.50%,"22,765",14.58
Mugaiyur,59,GEN,"Sampath, A.G.",Dravida Munetra Kazhagam,"1,37,681","98,835",71.80%,"13,986",10.16
Thirunavalur,60,GEN,"Balasubramaniyan, A.V.",Dravida Munetra Kazhagam,"1,29,141","96,532",74.70%,"17,308",13.4
Ulundurpet,61,SC,K. Angamuthu,Dravida Munetra Kazhagam,"1,59,159","1,10,319",69.30%,"11,905",7.48
Nellikuppam,62,GEN,C. Govindarajan,Communist Party Of India (MARXIST),"1,30,637","84,356",64.60%,"11,429",8.75
Cuddalore,63,GEN,"Pugazhendi, E.",Dravida Munetra Kazhagam,"1,49,592","1,01,623",67.90%,"20,382",13.63
Panruti,64,GEN,Nanda Gopalakirutinan K.,Dravida Munetra Kazhagam,"1,32,406","95,435",72.10%,"34,908",26.36
Kurinjipadi,65,GEN,"Ganeshmurthy, N.",Dravida Munetra Kazhagam,"1,48,195","97,273",65.60%,"28,844",19.46
Bhuvanagiri,66,GEN,"Sivalogam, S.",Dravida Munetra Kazhagam,"1,34,779","86,712",64.30%,"21,877",16.23
Kattumannarkoil,67,SC,A. Thangaraju,Independent,"1,23,447","79,791",64.60%,"3,841",3.11
Chidambaram,68,GEN,"Krishnamoorthy, D.",Dravida Munetra Kazhagam,"1,27,893","86,451",67.60%,"16,720",13.07
Vridhachalam,69,GEN,"Bhuvarahan, G.",Janta Party,"1,48,003","95,204",64.30%,"14,536",9.82
Mangalore,70,SC,Ganesan V.,Dravida Munetra Kazhagam,"1,54,870","95,597",61.70%,"20,759",13.4
Rishivandiam,71,GEN,Ekal M. Netesa Vdyar,Dravida Munetra Kazhagam,"1,30,994","1,05,262",80.40%,"5,961",4.55
Chinnasalem,72,GEN,"Udhayasuriyan, T.",Dravida Munetra Kazhagam,"1,38,166","1,03,765",75.10%,"13,538",9.8
Sankarapuram,73,GEN,"Muthaiyan, M.",Dravida Munetra Kazhagam,"1,44,101","1,10,321",76.60%,"10,017",6.95
Hosur,74,GEN,N. Ramachandra Reddy,Indian National Congress,"1,52,293","98,779",64.90%,"2,061",1.35
Thalli,75,GEN,D.C. Vijayendriah,Janta Party,"1,33,588","89,191",66.80%,"20,963",15.69
Kaveripattinam,76,GEN,V.C. Govindasami,Dravida Munetra Kazhagam,"1,38,478","1,04,074",75.20%,"3,984",2.88
Krishnagiri,77,GEN,"Kanchana, K.",Dravida Munetra Kazhagam,"1,36,299","93,102",68.30%,"13,986",10.26
Bargur,78,GEN,"Rajendran, K.R.",All India Anna Dravida Munnetra Kazhagam(JAYALALITA GROUP),"1,43,564","1,03,604",72.20%,"1,029",0.72
Harur,79,SC,"Annamalai, M.",Communist Party Of India (MARXIST),"1,60,709","91,535",57.00%,"1,877",1.17
Morappur,80,GEN,"Mullaiventhan, V.",Dravida Munetra Kazhagam,"1,33,712","85,576",64.00%,"8,507",6.36
Palacode,81,GEN,"Madhapan, K.",All India Anna Dravida Munnetra Kazhagam(JAYALALITA GROUP),"1,45,254","98,521",67.80%,"4,500",3.1
Dharmapuri,82,GEN,"Chinnasamy, R.",Dravida Munetra Kazhagam,"1,53,201","73,902",48.20%,"12,551",8.19
Pennagaram,83,GEN,"Nanjappan, N.",Independent,"1,47,380","75,943",51.50%,943,0.64
Mettur,84,GEN,"Sreerangan, M.",Communist Party Of India (MARXIST),"1,60,935","93,412",58.00%,"1,128",0.7
Taramangalam,85,GEN,"Arjunan, K.",All India Anna Dravida Munnetra Kazhagam(JAYALALITA GROUP),"1,52,563","63,673",41.70%,"1,653",1.08
Omalur,86,GEN,"Krishnan, C.",All India Anna Dravida Munnetra Kazhagam(JAYALALITA GROUP),"1,43,933","78,295",54.40%,"10,482",7.28
Yercaud,87,ST,C. Perumal,All India Anna Dravida Munnetra Kazhagam(JAYALALITA GROUP),"1,26,870","75,293",59.30%,"6,441",5.08
Salem-I,88,GEN,"Dhanabalan, K.R.G.",Dravida Munetra Kazhagam,"1,64,974","1,14,793",69.60%,"22,661",13.74
Salem-Ii,89,GEN,"Arumugam, S.",Dravida Munetra Kazhagam,"1,58,332","1,06,280",67.10%,"20,765",13.11
Veerapandi,90,GEN,"Venkatachalam, P.",Dravida Munetra Kazhagam,"1,68,878","1,06,959",63.30%,"4,141",2.45
Panamarathupatty,91,GEN,Sivalingam S.R.,Dravida Munetra Kazhagam,"1,47,552","96,450",65.40%,"1,825",1.24
Attur,92,GEN,"Ramasamy, A.M.",Dravida Munetra Kazhagam,"1,35,294","90,152",66.60%,"5,825",4.31
Talavasal,93,SC,S. Gunasekaran,Dravida Munetra Kazhagam,"1,50,564","97,909",65.00%,"6,079",4.04
Rasipuram,94,GEN,"Subbu, A.",Dravida Munetra Kazhagam,"1,55,741","1,12,810",72.40%,460,0.3
Sendamangalam,95,ST,"Chinnasamy, K.",All India Anna Dravida Munnetra Kazhagam(JAYALALITA GROUP),"1,55,493","99,918",64.30%,"5,037",3.24
Namakkal,96,SC,P. Duraisamy,Dravida Munetra Kazhagam,"1,68,337","1,20,786",71.80%,"4,343",2.58
Kapilamalai,97,GEN,"Mani, K.A.",All India Anna Dravida Munnetra Kazhagam(JAYALALITA GROUP),"1,53,675","1,13,914",74.10%,"8,466",5.51
Tiruchengode,98,GEN,"Ramasamy, V.",Communist Party Of India (MARXIST),"2,32,631","1,55,812",67.00%,"18,088",7.78
Sankari,99,SC,"Varadarajan, R.",Dravida Munetra Kazhagam,"1,74,383","1,06,487",61.10%,"7,869",4.51
Edapadi,100,GEN,Palaniswami. K.,All India Anna Dravida Munnetra Kazhagam(JAYALALITA GROUP),"1,78,702","95,095",53.20%,"1,364",0.76
Mettupalayam,101,GEN,"Gopalakrishnan, V.",Indian National Congress,"1,65,095","1,24,299",75.30%,"7,160",4.34
Avanashi,102,SC,"Annanambi, R.",All India Anna Dravida Munnetra Kazhagam(JAYALALITA GROUP),"2,44,291","1,07,333",43.90%,"2,158",0.88
Thondamuthur,103,GEN,"Vellingiri, U.K.",Communist Party Of India (MARXIST),"2,23,266","1,51,869",68.00%,"21,603",9.68
Singanallur,104,GEN,Era Mohan,Dravida Munetra Kazhagam,"1,83,302","1,31,737",71.90%,"38,238",20.86
Coimbatore West,105,GEN,"Ramanathan, M.",Dravida Munetra Kazhagam,"1,28,999","91,689",71.10%,"25,685",19.91
Coimbatore East,106,GEN,"Ramani, K.",Communist Party Of India (MARXIST),"1,44,236","96,490",66.90%,"8,125",5.63
Perur,107,GEN,"Natarajan, A.",Dravida Munetra Kazhagam,"1,92,421","1,38,869",72.20%,"29,933",15.56
Kinathukkadavu,108,GEN,"Kandasamy, K.",Dravida Munetra Kazhagam,"1,32,646","1,01,183",76.30%,"14,073",10.61
Pollachi,109,GEN,V.P. Chandrasekar,All India Anna Dravida Munnetra Kazhagam(JAYALALITA GROUP),"1,56,063","1,14,393",73.30%,"3,774",2.42
Valparai,110,SC,P. Lakshmi,All India Anna Dravida Munnetra Kazhagam(JAYALALITA GROUP),"1,24,811","92,342",74.00%,"6,672",5.35
