ac_name,ac_no,type,district,winning_cand,party,totelectors,totvotes,poll_percentage,margin,winning_percentage,
Alangudi,182,GEN,Pudukkottai,Krishnan.Kupa,All India Anna Dravida Munnetra Kazhagam,"1,68,687","1,38,203",81.90%,5127,3.70%,
Aranthangi,183,GEN,Pudukkottai,Raja Nayagam M,All India Anna Dravida Munnetra Kazhagam,"1,70,564","1,28,027",75.10%,16656,13.00%,
Karaikudi,184,GEN,Sivaganga,Palanichamy.Cholan.Ct,All India Anna Dravida Munnetra Kazhagam,"2,26,934","1,68,797",74.40%,18900,11.20%,
Tiruppattur,185,GEN,Sivaganga,Periyakaruppan.Kr,Dravida Munetra Kazhagam,"2,18,453","1,73,020",79.20%,1584,0.90%,
Sivaganga,186,GEN,Sivaganga,Gunasekaran.S,Communist Party Of India,"2,14,027","1,57,216",73.50%,4382,2.80%,
Manamadurai,187,SC,Sivaganga,Gunasekaran.M,All India Anna Dravida Munnetra Kazhagam,"2,10,956","1,61,626",76.60%,14020,8.70%,
Melur,188,GEN,Madurai,Samy R,All India Anna Dravida Munnetra Kazhagam,"1,98,652","1,54,050",77.50%,24462,15.90%,
Madurai East,189,GEN,Madurai,Tamilarasan K,All India Anna Dravida Munnetra Kazhagam,"2,33,166","1,79,869",77.10%,28755,16.00%,
Sholavandan,190,SC,Madurai,Karuppiah M V,All India Anna Dravida Munnetra Kazhagam,"1,74,649","1,44,348",82.70%,36608,25.40%,
Madurai North,191,GEN,Madurai,Bose.A.K,All India Anna Dravida Munnetra Kazhagam,"1,95,812","1,42,571",72.80%,46400,32.50%,
Madurai South,192,GEN,Madurai,Annadurai R,Communist Party Of India (MARXIST),"1,78,812","1,35,472",75.80%,45451,33.60%,
Madurai Central,193,GEN,Madurai,Sundarrajan R,Desiya Murpokku Dravida Kazhagam,"1,92,579","1,44,151",74.90%,19560,13.60%,
Madurai West,194,GEN,Madurai,Raju K,All India Anna Dravida Munnetra Kazhagam,"2,14,291","1,58,950",74.20%,38761,24.40%,
Thiruparankundram,195,GEN,Madurai,Raja A.K.T,Desiya Murpokku Dravida Kazhagam,"2,13,780","1,62,630",76.10%,48502,29.80%,
Thirumangalam,196,GEN,Madurai,Muthuramalingam M,All India Anna Dravida Munnetra Kazhagam,"2,23,826","1,82,703",81.60%,26367,14.40%,
Usilampatti,197,GEN,Madurai,Kathiravan P V,All India Forward Bloc,"2,17,255","1,72,293",79.30%,15320,8.90%,
Andipatti,198,GEN,Theni,Thangatamilselvan,All India Anna Dravida Munnetra Kazhagam,"2,09,097","1,70,652",81.60%,21031,12.30%,
Periyakulam,199,SC,Theni,Laser.A,Communist Party Of India (MARXIST),"2,03,131","1,60,242",78.90%,5641,3.50%,
Bodinayakanur,200,GEN,Theni,Panneerselvam O,All India Anna Dravida Munnetra Kazhagam,"2,07,412","1,67,998",81.00%,29906,17.80%,
Cumbum,201,GEN,Theni,Eramakrishnan.N,Dravida Munetra Kazhagam,"2,16,907","1,65,321",76.20%,12168,7.40%,
Rajapalayam,202,GEN,Virudhunagar,K.Gopalsamy,All India Anna Dravida Munnetra Kazhagam,"1,85,595","1,48,925",80.20%,21432,14.40%,
Srivilliputhur,203,SC,Virudhunagar,V. Ponnupandi,Communist Party Of India,"1,92,116","1,53,759",80.00%,6228,4.10%,
Sattur,204,GEN,Virudhunagar,R.B.Uthayakumar,All India Anna Dravida Munnetra Kazhagam,"1,85,572","1,52,462",82.20%,29345,19.20%,
Sivakasi,205,GEN,Virudhunagar,Rajenthra Bhalaji.K.T,All India Anna Dravida Munnetra Kazhagam,"1,82,122","1,46,573",80.50%,35334,24.10%,
Virudhunagar,206,GEN,Virudhunagar,Pandiarajan.K,Desiya Murpokku Dravida Kazhagam,"1,70,254","1,33,930",78.70%,21286,15.90%,
Aruppukkottai,207,GEN,Virudhunagar,Vaigaichelvan,All India Anna Dravida Munnetra Kazhagam,"1,79,530","1,49,637",83.30%,10638,7.10%,
Tiruchuli,208,GEN,Virudhunagar,Thangam Thenarasu,Dravida Munetra Kazhagam,"1,77,682","1,50,146",84.50%,19952,13.30%,
Paramakudi,209,SC,Ramanathapuram,Sundararaj.S,All India Anna Dravida Munnetra Kazhagam,"2,05,526","1,48,855",72.40%,34606,23.20%,
Tiruvadanai,210,GEN,Ramanathapuram,Thangavelan Suba,Dravida Munetra Kazhagam,"2,17,947","1,56,072",71.60%,927,0.60%,
Ramanathapuram,211,GEN,Ramanathapuram,Jawahirulla,Manithaneya Makkal Katchi,"2,26,186","1,60,703",71.00%,15757,9.80%,
Mudhukulathur,212,GEN,Ramanathapuram,Murugan M,All India Anna Dravida Munnetra Kazhagam,"2,57,111","1,77,555",69.10%,20089,11.30%,
Vilathikulam,213,GEN,Thoothukkudi,Markandayan. V,All India Anna Dravida Munnetra Kazhagam,"1,75,367","1,33,292",76.00%,22597,17.00%,
Thoothukkudi,214,GEN,Thoothukkudi,Chellapandian S.T,All India Anna Dravida Munnetra Kazhagam,"2,12,628","1,56,774",73.70%,26193,16.70%,
Tiruchendur,215,GEN,Thoothukkudi,Anitha R Radhakrishnan,Dravida Munetra Kazhagam,"1,89,982","1,46,141",76.90%,640,0.40%,
Srivaikuntam,216,GEN,Thoothukkudi,Shunmuganathan.S.P,All India Anna Dravida Munnetra Kazhagam,"1,75,769","1,31,879",75.00%,21122,16.00%,
Ottapidaram,217,SC,Thoothukkudi,Dr.K.Krishnasamy,Puthiya Tamilagam,"1,67,524","1,26,453",75.50%,25126,19.90%,
Kovilpatti,218,GEN,Thoothukkudi,Kadambur Raju C,All India Anna Dravida Munnetra Kazhagam,"1,81,097","1,30,723",72.20%,26480,20.30%,
Sankarankovil,219,SC,Tirunelveli,Karuppasamy.C,All India Anna Dravida Munnetra Kazhagam,"1,91,012","1,44,622",75.70%,10395,7.20%,
Vasudevanallur,220,SC,Tirunelveli,"Dr.Duraiappa.S.,mbbs.,",All India Anna Dravida Munnetra Kazhagam,"1,85,683","1,42,026",76.50%,28090,19.80%,
Kadayanallur,221,GEN,Tirunelveli,Chendur Pandian .P,All India Anna Dravida Munnetra Kazhagam,"2,14,996","1,62,155",75.40%,16086,9.90%,
Tenkasi,222,GEN,Tirunelveli,Sarath Kumar.R,All India Anna Dravida Munnetra Kazhagam,"2,15,323","1,69,910",78.90%,22967,13.50%,
Alangulam,223,GEN,Tirunelveli,P. G. Rajendran,All India Anna Dravida Munnetra Kazhagam,"2,03,828","1,65,134",81.00%,299,0.20%,
Tirunelveli,224,GEN,Tirunelveli,Nainar Nagenthran,All India Anna Dravida Munnetra Kazhagam,"2,05,140","1,57,304",76.70%,38491,24.50%,
