ac_name,ac_no,type,winning_cand,party,totelectors,totvotes,poll_percentage,margin,winning_percentage,
Thanjavur,183,GEN,Ubayadullah. S.N.M,Dravida Munetra Kazhagam,"2,24,016","1,09,508",48.88,9590,8.80%,
Tiruvaiyaru,184,GEN,Ayyaru Vandayar K.,All India Anna Dravida Munnetra Kazhagam,"1,56,668","1,01,540",64.81,15689,15.50%,
Papanasam,185,GEN,Ramkumar M,Tamil Maanila Congress (MOOPANAR),"1,64,795","1,10,883",67.29,6632,6.00%,
Valangiman,186,SC,Boopathi Mariappan Tmt,All India Anna Dravida Munnetra Kazhagam,"1,42,156","94,392",66.4,23477,24.90%,
Kumbakonam,187,GEN,Mani Ko.Si.,Dravida Munetra Kazhagam,"1,96,625","1,18,427",60.23,6496,5.50%,
Thiruvidamarudur,188,GEN,Thavamani G.,All India Anna Dravida Munnetra Kazhagam,"1,67,543","1,22,334",73.02,7372,6.00%,
Thirumayam,189,GEN,Radakrishnan. M.,All India Anna Dravida Munnetra Kazhagam,"1,90,112","1,13,291",59.59,12027,10.60%,
Kolathur,190,SC,Karuppayee Dr. A.,All India Anna Dravida Munnetra Kazhagam,"2,09,726","1,30,487",62.22,46899,35.90%,
Pudukkottai,191,GEN,Dr. Vijayabasker.C,All India Anna Dravida Munnetra Kazhagam,"2,21,966","1,43,868",64.82,28183,19.60%,
Alangudi,192,GEN,Venkadachalam.A.,All India Anna Dravida Munnetra Kazhagam,"2,03,850","1,39,840",68.6,16731,12.00%,
Arantangi,193,GEN,Arasan P.,M.G.R.Anna D.M.Kazhagam,"2,21,413","1,27,205",57.45,20018,15.70%,
Tiruppattur,194,GEN,Umadhevan. Kk,All India Anna Dravida Munnetra Kazhagam,"1,46,691","98,634",67.24,9090,9.20%,
Karaikudi,195,GEN,Raja. H,Bharatiya Janta Party,"1,89,003","1,11,755",59.13,1651,1.50%,
Tiruvadanai,196,GEN,Ramasamy K.R.,Tamil Maanila Congress (MOOPANAR),"1,86,083","1,11,396",59.86,2304,2.10%,
Ilayangudi,197,GEN,Nadarajan. V.D.,All India Anna Dravida Munnetra Kazhagam,"1,52,529","94,748",62.12,4682,4.90%,
Sivaganga,198,GEN,Chandran.V,All India Anna Dravida Munnetra Kazhagam,"1,83,912","1,06,304",57.8,4273,4.00%,
Manamadurai,199,SC,Paramalai.K,Tamil Maanila Congress (MOOPANAR),"1,76,612","99,039",56.08,20857,21.10%,
Paramakudi,200,SC,Ramprabhu R,Tamil Maanila Congress (MOOPANAR),"1,81,847","1,08,424",59.62,5807,5.40%,
Ramanathapuram,201,GEN,Anwer Rhazza A,All India Anna Dravida Munnetra Kazhagam,"1,77,797","1,19,217",67.05,9112,7.60%,
Kadaladi,202,GEN,Balakrishnan.S,Tamil Maanila Congress (MOOPANAR),"1,95,964","1,06,400",54.3,6115,5.70%,
Mudukulathur,203,GEN,Patinetampatian. K,All India Anna Dravida Munnetra Kazhagam,"1,77,522","1,05,459",59.41,2669,2.50%,
Aruppukottai,204,GEN,Sivasamy K.K.,All India Anna Dravida Munnetra Kazhagam,"1,71,719","1,07,040",62.33,6152,5.70%,
Sattur,205,GEN,Ramachandran K.K.S.S.R,Dravida Munetra Kazhagam,"2,15,350","1,35,069",62.72,4415,3.30%,
Virudhunagar,206,GEN,Damodaran S.,Tamil Maanila Congress (MOOPANAR),"1,92,478","1,15,830",60.18,4017,3.50%,
Sivakasi,207,GEN,Rajagopal A,Tamil Maanila Congress (MOOPANAR),"2,56,918","1,55,379",60.48,5721,3.70%,
Srivilliputhur,208,GEN,Enbathamilan. R.T.,All India Anna Dravida Munnetra Kazhagam,"1,99,642","1,21,011",60.61,9174,7.60%,
